wallet,tx_count,total_volume,avg_tx_value,active_days,protocols_used,chain
0x8c17332ebb47684d840da831bc90619a62aeb45f,1438,19.3082604,0.013427163,90,24,ethereum
0x8075c739a8038c738df0bafb4b8ccb2bc33887df,262,2.22E-07,8.47E-10,81,35,ethereum
0xf7b12f25b8d585b9f52fab9776c394306cbf82ab,1006,26.11604989,0.025960288,90,372,ethereum
0x1d6fdbad619ab2e64ca300ec4a2c44b32449db71,40,0.03988059,0.000997015,80,15,ethereum
0xbc0d24494d3bd8f0077a1bec2ec611383a8d7c11,1237,40.82745664,0.03300522,90,888,ethereum
0x992d2e45aabe26b2b24f1f850a0179d98b8f98a6,31,0.477139349,0.015391592,64,8,ethereum
0xcf94b933b1a0f28f7a75b0c5d50d44026da3f3d0,62,0.002816898,4.54E-05,84,12,ethereum
0xc338603d1be5ef76f05e53ed7819ccd9c09563d8,67,0.004796273,7.16E-05,53,15,ethereum
0x9fd389431553371a609deea8f83868c73aef7793,166,0.000364872,2.20E-06,85,8,ethereum
0x79143508e29ddf2e79c86f61c0899f4ef6e8463d,8,0.021406001,0.00267575,2,6,ethereum
0xcbe8982d16a92e120ea5398427615cd057bd6973,7,0.000140834,2.01E-05,18,3,ethereum
0xc47054646988cee942d3df63ee9b561bf44b4fda,25,6.338300979,0.253532039,10,5,ethereum
0xa9e495f57bfeb61163f07a2f7cf97ca2eac9cc1a,117,4.875047673,0.041667074,59,54,ethereum
0xe3f3010d65e5f5f0f25cbea641c2df487f36a1ce,39,0.000503422,1.29E-05,37,21,ethereum
0x54bff22ba9f514cde5eb240787a155e9267cb268,151,2.550848642,0.016893037,85,18,ethereum
0x1fa95034f94afa7103df92916cb0b15975107df1,6,2.65E-05,4.42E-06,1,2,ethereum
0x8828cdd64d481681388c86000ffdf0f6a398a50b,16,7.25E-05,4.53E-06,39,4,ethereum
0x5eb31519474aa90e492168a403fc2ab4522adc7b,95,0.041844979,0.000440473,89,2,ethereum
0x0596ca29d06b4b6ee744657fab27288a056bd3e5,165,0.534676157,0.003240462,23,11,ethereum
0x98d1835904db79317e172fa740fc7489308450aa,53,5.28E-05,9.96E-07,3,2,ethereum
0x5342e60d66fed41a366ea1e1e8243d03e2ca549a,61,4.974224236,0.08154466,86,21,ethereum
0xea2a649007f8f484f652cc69c7f758df057bf057,7,1.00E-09,1.43E-10,76,2,ethereum
0xa031883cd02911f18b951a28783cf0c2033ad80b,17,6.03E-05,3.55E-06,62,2,ethereum
0x3cf795f003511e3ab74b4d2f3976677f224e4d6f,12,0,0,35,1,ethereum
0x95a440559f62a64897adeab80aeb2df0b6b5e994,40,0.964672119,0.024116803,6,8,ethereum
0xc5965c034189c84f24eb81fcf70c547f204ed18e,44,0.874622552,0.019877785,6,8,ethereum
0x15f03b57a2c340935299cc301b56befb8bc7fa92,9,9.00E-08,1.00E-08,2,2,ethereum
0x8971a7540f7b8ec4957f70f45cf9a6e9fa022167,26,2.60E-08,1.00E-09,39,2,ethereum
0xdac929969929a2811695fb56c6037f812ac4f5be,24,8.83E-05,3.68E-06,74,2,ethereum
0xa099e9f6ae243cebeed8c9f926c51d0e3d2ba73f,47,0.954589638,0.020310418,6,8,ethereum
0x6d8cbb8a68071ef618787864965e58f1c9d94b07,9,0.359806311,0.039978479,68,4,ethereum
0x7d1c5750d85464fedc4f185f01923ce6d501c5c1,30,0.529758503,0.017658617,7,9,ethereum
0x6d74ecc227e8f25b6f47937acf0ba9697e7b1a2d,35,0.394725957,0.011277884,3,8,ethereum
0xc117a616d83db15df153a0efcbcf930f6d038744,108,4.346881025,0.040248898,88,11,ethereum
0x7dfe91d4c92d48c74bc0dc3e5f08067a29fb7c32,9,0.000282632,3.14E-05,64,4,ethereum
0x02eff783cfaad8ba53ba92b01c2dcfdae2238788,34,0.00154011,4.53E-05,2,5,ethereum
0x6c1adc112915759325e9cc7c5a3a6d3eadad590e,19,0.0005,2.63E-05,60,12,ethereum
0xdfff9c973468c6539b52e707d33fd3f406e2310c,6,6.00E-09,1.00E-09,43,4,ethereum
